Company,Stipend,TotalOffers
Adobe,100000,15
Amazon,60000,7
American Express,70000,7
Baker Hughes,25000,1
Becton Dickinson,20000,2
BNY Mellon,60000,1
Citrix,50000,5
Cognizant,ND,12
Deutsche Bank,75000,4
Expedia,35000,14
Facebook,ND,2
Fractal Analytics,30000,1
GE,25000,1
GE Digital,30000,2
Goldman Sachs,75000,2
Google,98000,4
Intuit,60000,5
MedTourEasy,ND,1
Microsoft,80000,40
Morgan Stanley,87000,3
Optum,35000,5
Oracle,30000,5
Phone Pe,50000,3
SAP Labs,35000,5
Schneider Electric,25000,4
TVS,15000,1
Uber,160000,2
Visa,60000,1
Walmart,80000,13
Wells Fargo,80000,4
Western Digital,35000,4
