Company,CTC,FTEOffers
Accenture,4.5,15
Adidas,10,16
Adobe,43.5,12
Amazon,30,13
Amdocs,4.2,1
American Express,13.28,17
AppDynamics,39.2,2
Athena Healthcare,10.12,4
Atlassian,51.76,9
Bank of New York Mellon,14.15,1
Barclays,8.5,4
Capegemini,3.8,6
Cisco,14.37,26
Citrix,22.94,4
Cognizant,6,4
College Dunia,9,10
Comely Enterprises,3,8
Comviva,6.4,14
Dell,8,2
Deutsche Bank,19.63,16
DXC Technology,3.6,3
Eaton,6.25,4
Ericsson Global,6.5,18
Expedia,35.9,9
Expedia Group,12.9,9
Flipkart,26.58,8
Fractal Analytics,10.5,1
GE Digital,15.8,6
GeeksforGeeks,3,2
Goldman Sachs,23,27
Google,59.45,1
Grant Thornton,4.8,3
HPE,8.8,4
Intuit,32.82,10
Ion Group,12.5,3
JPMorgan Chase & Co.,14,6
LinkedIn,40.44,6
Micron Technology,7.54,2
Microsoft,45.03,20
Morgan Stanley,23.5,3
Myntra,24,2
NXP semiconductor,14.1,3
Optum United Health Group,7.15,7
Oracle,11,8
Orange Business Services,8.5,1
Paytm,4,5
Philips,10,4
Publicis Sapient,9,4
PwC,7,3
Salesforce,32.7,3
SanDisk,19.15,2
SAP labs,20.5,5
Siemens PLM,9,1
Societe Generale's Global Solution,13.12,10
Standard chartered,6.1,2
Tata Electronics,5.25,8
TCS,7,7
Thoughtworks,8.3,5
Twitter,29,2
Unthinkable Solutions,4,5
Visa,15.39,5
Walmart Labs,20.67,17
Wells Fargo,20,8
Western Digital,19.16,9
Zomato,19,1
ZS Associates,13.43,9
