Company,Stipend,TotalOffers
Adobe,100000,8
Amazon ( AWS: Prosery),70000,8
American Express,85000,13
Arista Network,65000,1
Atlassian,130000,2
Barclays,75000,13
Becton Dickinson,20000,5
BNY Mellon,75000,3
Capgemini,22000,1
Citi Bank,75000,15
Deutsche Bank,75000,11
Disney + Hotstar,100000,1
Expedia,35000,22
Fidelity,24000,5
Flipkart,100000,1
Goldman Sachs,100000,10
Google,114167,13
Intuit,80000,1
JPMC,70000,36
Loadshare Networks,50000,5
MasterCard,75000,4
Mathworks,55000,1
Microsoft,125000,96
Morgan Stanley,87000,7
MotorQ,160000,2
Notion Labs,125000,1
Oracle,50000,11
Providence,40000,3
Salesforce,125000,11
Samsung,50000,9
Schneider Electric,25000,1
ServiceNow,70000,5
Silicon Labs,35000,4
Titan,15000,5
Twilio,116700,2
Uber,160000,7
Urban Company,50000,8
Visa,65000,8
Wells Fargo,90000,8
Western Digital,35000,2
Wooger,50000,4
