Company,CTC,FTEOffers
Aditya Birla Group,8,9
Adobe,56,6
Air products,7.70,2
Airtel Payments Bank,14.75,20
Amdocs(6 Months Internship-20k),,1
American Express,18.94,8
AQR,31.5,1
ARM Embedded Technologies,NaN,1
AWS-Amazon Web Services,52.89,10
Bajaj Auto,11.74,1
Barclays,13.5,12
Binance,Not Disclosed,1
BNY Mellon,22,10
Boston consulting group,10,1
British Telecom,17,3
CB&I India Private Limited,7.5,1
Chegg,26.19,3
Cisco,19.19,7
Citi Bank,18,21
Corning,20.57,1
Dassault Systems Solutions Lab pvt Ltd,7.50,1
Deloitte,7.6,27
Deutsche Bank,20,10
Expedia Group,26.99,2
Fidelity International,9,7
Flipkart,32.58,3
Goldman Sachs,24,9
Google,33,14
Hero motorcorp,8.25,6
Hewlett Packard Enterprise,17.5,2
Honeywell,6.60,1
Infosys,9.5,2
Intuit,45,4
ION,14,2
ITC PCB,13.04,4
JPMC,20,17
Lam Research,14.79,1
Lowe's,19.87,6
Mastercard,17,1
McDermott,7.5,7
Mercari,16,5
Merilytics,6.5,1
Microsoft,51,33
Moody's Analytics,11,16
Morgan Stanley,29.48,8
NBC Bearing,₹ 5.80,1
Nomura,14,6
Novartis,8.53,9
NXP semiconductors,23,5
Observe.ai,33,2
Oracle,19.18,10
PCL technologies,22,1
Pepsico,11,5
PhonePe,16.63,2
PlanetSpark,7.10,1
Providence,2,1
Publicis Sapient (Stipend-30.5k):,,1
Publicis Sapient,20.63,6
PwC,9,15
Rockwell Automation,6.09,3
Salesforce,44,9
"Samsung R&D,noida",15.5,2
SAP Labs,24.5,12
ServiceNow,42,2
Siemens,5,1
Synopsys,21.83,5
TATA Motors,10.5,14
TCS,3.36,1
Technip Energies,6.50,8
Tesco,21,3
Thrifty AI,8,1
TransUnion CIBIL,8,1
Uber,38.44,5
Ultimate Kronos Group (UKG),15.5,2
United Airlines,8.5,4
Urban Company,30,7
Visa,32,10
Walmart,22,5
Wells Fargo,24,18
Xplorazzi,9,1
